title,genre,keywords,overview
Avatar,Action Adventure Fantasy,space alien future,"A marine explores a mysterious alien world and becomes involved in a conflict."
Avengers,Action Adventure Sci-Fi,superhero marvel team,"A team of superheroes joins together to protect the world from a powerful enemy."
Titanic,Drama Romance,ship love tragedy,"A young couple from different social classes fall in love during a historic sea voyage."
The Dark Knight,Action Crime Drama,batman joker hero,"A masked hero fights crime while facing a dangerous criminal mastermind."
Inception,Action Sci-Fi Thriller,dream mind technology,"A skilled thief enters people's dreams to steal and manipulate information."
Interstellar,Adventure Drama Sci-Fi,space future astronaut,"Astronauts travel through space searching for a new home for humanity."
Jurassic Park,Adventure Sci-Fi,Dinosaur park science,"Scientists create a dinosaur theme park where an experiment goes wrong."
The Matrix,Action Sci-Fi,virtual reality technology future,"A computer programmer discovers that reality is actually a simulated world."
Iron Man,Action Adventure Sci-Fi,superhero technology marvel,"A brilliant inventor creates a powerful suit and becomes a superhero."
Guardians of the Galaxy,Action Adventure Comedy,space superhero team,"A group of unusual heroes joins together to protect the galaxy."
